Mes,Indice_Estacional,Año,Oferta_Toneladas
Enero,0.9045,2017,80.3
Enero,0.9045,2018,136.6
Enero,0.9045,2019,141.1
Enero,0.9045,2020,137.35
Enero,0.9045,2021,140.2
Enero,0.9045,2022,115.3
Enero,0.9045,2023,116.4
Enero,0.9045,2024,171.5
Febrero,0.9296,2017,124.55
Febrero,0.9296,2018,120.05
Febrero,0.9296,2019,115.95
Febrero,0.9296,2020,128.5
Febrero,0.9296,2021,149.6
Febrero,0.9296,2022,125.1
Febrero,0.9296,2023,125.0
Febrero,0.9296,2024,177.5
Marzo,1.0497,2017,129.45
Marzo,1.0497,2018,133.1
Marzo,1.0497,2019,135.7
Marzo,1.0497,2020,133.05
Marzo,1.0497,2021,187.8
Marzo,1.0497,2022,171.8
Marzo,1.0497,2023,166.4
Marzo,1.0497,2024,144.0
Abril,0.9358,2017,100.5
Abril,0.9358,2018,143.6
Abril,0.9358,2019,116.85
Abril,0.9358,2020,122.8
Abril,0.9358,2021,141.9
Abril,0.9358,2022,163.3
Abril,0.9358,2023,122.5
Abril,0.9358,2024,163.5
Mayo,1.147,2017,151.3
Mayo,1.147,2018,157.8
Mayo,1.147,2019,174.9
Mayo,1.147,2020,143.0
Mayo,1.147,2021,152.6
Mayo,1.147,2022,191.55
Mayo,1.147,2023,165.4
Mayo,1.147,2024,177.5
Junio,1.0616,2017,152.3
Junio,1.0616,2018,156.9
Junio,1.0616,2019,139.6
Junio,1.0616,2020,144.5
Junio,1.0616,2021,151.8
Junio,1.0616,2022,159.5
Junio,1.0616,2023,146.5
Junio,1.0616,2024,162.0
Julio,1.0403,2017,134.7
Julio,1.0403,2018,148.0
Julio,1.0403,2019,168.05
Julio,1.0403,2020,144.5
Julio,1.0403,2021,131.3
Julio,1.0403,2022,139.6
Julio,1.0403,2023,157.0
Julio,1.0403,2024,167.0
Agosto,1.0012,2017,149.1
Agosto,1.0012,2018,132.45
Agosto,1.0012,2019,140.7
Agosto,1.0012,2020,118.1
Agosto,1.0012,2021,125.9
Agosto,1.0012,2022,149.3
Agosto,1.0012,2023,175.0
Agosto,1.0012,2024,155.5
Septiembre,0.9542,2017,139.55
Septiembre,0.9542,2018,123.0
Septiembre,0.9542,2019,153.9
Septiembre,0.9542,2020,124.8
Septiembre,0.9542,2021,132.5
Septiembre,0.9542,2022,139.5
Septiembre,0.9542,2023,133.5
Septiembre,0.9542,2024,144.0
Octubre,1.0605,2017,158.7
Octubre,1.0605,2018,153.55
Octubre,1.0605,2019,160.45
Octubre,1.0605,2020,122.7
Octubre,1.0605,2021,143.7
Octubre,1.0605,2022,149.3
Octubre,1.0605,2023,155.0
Octubre,1.0605,2024,170.5
Noviembre,1.0335,2017,143.85
Noviembre,1.0335,2018,161.55
Noviembre,1.0335,2019,151.78
Noviembre,1.0335,2020,138.8
Noviembre,1.0335,2021,136.9
Noviembre,1.0335,2022,141.0
Noviembre,1.0335,2023,153.0
Noviembre,1.0335,2024,153.5
Diciembre,0.8822,2017,135.85
Diciembre,0.8822,2018,114.96
Diciembre,0.8822,2019,126.15
Diciembre,0.8822,2020,125.2
Diciembre,0.8822,2021,125.6
Diciembre,0.8822,2022,134.5
Diciembre,0.8822,2023,112.3
Diciembre,0.8822,2024,132.5
