Mes,Indice_Estacional,Año,Precio_ColonesKg
Enero,1.0,2017,1.0
Enero,1.0,2018,64.29
Enero,1.0,2019,619.05
Enero,1.0,2020,550.0
Enero,1.0,2021,430.95
Enero,1.0,2022,450.0
Enero,1.0,2023,647.5
Enero,1.0,2024,985.71
Febrero,0.9997,2017,702.5
Febrero,0.9997,2018,640.0
Febrero,0.9997,2019,502.5
Febrero,0.9997,2020,430.0
Febrero,0.9997,2021,460.0
Febrero,0.9997,2022,572.5
Febrero,0.9997,2023,877.5
Febrero,0.9997,2024,900.0
Marzo,0.9243,2017,636.96
Marzo,0.9243,2018,595.0
Marzo,0.9243,2019,473.81
Marzo,0.9243,2020,480.0
Marzo,0.9243,2021,430.43
Marzo,0.9243,2022,519.23
Marzo,0.9243,2023,708.7
Marzo,0.9243,2024,821.05
Abril,0.8706,2017,538.24
Abril,0.8706,2018,550.0
Abril,0.8706,2019,457.89
Abril,0.8706,2020,533.33
Abril,0.8706,2021,462.5
Abril,0.8706,2022,502.17
Abril,0.8706,2023,555.56
Abril,0.8706,2024,745.45
Mayo,0.8269,2017,484.78
Mayo,0.8269,2018,507.14
Mayo,0.8269,2019,450.0
Mayo,0.8269,2020,592.86
Mayo,0.8269,2021,500.0
Mayo,0.8269,2022,487.04
Mayo,0.8269,2023,497.83
Mayo,0.8269,2024,534.78
Junio,0.7967,2017,454.76
Junio,0.7967,2018,511.9
Junio,0.7967,2019,417.5
Junio,0.7967,2020,563.64
Junio,0.7967,2021,502.27
Junio,0.7967,2022,488.64
Junio,0.7967,2023,475.0
Junio,0.7967,2024,485.0
Julio,0.9214,2017,490.0
Julio,0.9214,2018,502.27
Julio,0.9214,2019,491.3
Julio,0.9214,2020,769.57
Julio,0.9214,2021,625.0
Julio,0.9214,2022,538.1
Julio,0.9214,2023,469.05
Julio,0.9214,2024,600.0
Agosto,1.065,2017,554.55
Agosto,1.065,2018,640.91
Agosto,1.065,2019,634.09
Agosto,1.065,2020,800.0
Agosto,1.065,2021,634.09
Agosto,1.065,2022,595.65
Agosto,1.065,2023,521.74
Agosto,1.065,2024,840.91
Septiembre,66.67,2017,592.86
Septiembre,66.67,2018,712.5
Septiembre,66.67,2019,619.05
Septiembre,66.67,2020,609.09
Septiembre,66.67,2021,568.18
Septiembre,66.67,2022,600.0
Septiembre,66.67,2023,788.1
Septiembre,66.67,2024,1.0
Octubre,1.0162,2017,547.73
Octubre,1.0162,2018,560.87
Octubre,1.0162,2019,489.13
Octubre,1.0162,2020,518.18
Octubre,1.0162,2021,507.14
Octubre,1.0162,2022,752.38
Octubre,1.0162,2023,877.27
Octubre,1.0162,2024,917.39
Noviembre,980.95,2017,570.45
Noviembre,980.95,2018,540.91
Noviembre,980.95,2019,426.19
Noviembre,980.95,2020,478.57
Noviembre,980.95,2021,568.18
Noviembre,980.95,2022,990.91
Noviembre,980.95,2023,1.0
Noviembre,980.95,2024,131.82
Diciembre,994.44,2017,631.58
Diciembre,994.44,2018,663.16
Diciembre,994.44,2019,422.22
Diciembre,994.44,2020,475.0
Diciembre,994.44,2021,715.91
Diciembre,994.44,2022,942.86
Diciembre,994.44,2023,1.0
Diciembre,994.44,2024,452.63
